chain_id,start_date,end_date,duration_days,max_area_km2,mean_area_km2,total_area_km2,min_temperature,mean_min_temperature,mean_temperature,max_lat,min_lat,max_lon,min_lon,total_clusters,max_clusters_per_day,mean_clusters_per_day,max_cluster_area_day,coldest_temp_day
107,1948-12-29,1948-12-29,1,535863.6664341354,535863.6664341354,535863.6664341354,-4.0404606,-4.0404606,-2.093037089860508,133,133,142,142,1,1,1.0,1948-12-29,1948-12-29
108,1948-12-31,1948-12-31,1,558839.9151968082,558839.9151968082,558839.9151968082,-2.9559453,-2.9559453,-2.07271459678311,16,16,416,416,1,1,1.0,1948-12-31,1948-12-31
109,1949-01-02,1949-01-13,12,3678658.88895537,2283986.4387190077,27407837.26462809,-6.05108,-4.849983,-2.2416317236248293,139,44,154,101,12,1,1.0,1949-01-04,1949-01-04
110,1949-01-15,1949-03-01,46,9960582.279289117,2858719.2931123655,200110350.5178656,-6.8896675,-3.6171975,-1.9830527563776015,147,10,421,61,70,3,1.5217391304347827,1949-01-19,1949-01-18
111,1949-03-12,1949-03-12,1,576300.6102045579,576300.6102045579,576300.6102045579,-3.38845,-3.38845,-1.9058413992208594,24,24,412,412,1,1,1.0,1949-03-12,1949-03-12
112,1949-12-11,1949-12-15,5,1620896.1995209646,1138091.6372461754,5690458.186230877,-4.8337793,-4.281075,-2.082523557206186,144,103,165,129,5,1,1.0,1949-12-12,1949-12-11
113,1949-12-18,1949-12-23,6,1870451.8374852524,1328857.6043873092,7973145.626323855,-4.0888104,-3.5443392,-1.998522605361364,155,59,175,83,6,1,1.0,1949-12-20,1949-12-20
114,1949-12-25,1950-02-11,49,11698960.15824275,4403644.510002586,264218670.60015514,-7.1569624,-4.2059665,-2.05404788632569,141,20,407,30,60,2,1.2244897959183674,1950-01-25,1950-01-14
115,1950-02-14,1950-02-15,2,1090266.2989979645,1084277.6756475838,2168555.3512951676,-3.3720336,-2.9868512,-1.843862153677813,112,111,405,400,2,1,1.0,1950-02-14,1950-02-15
116,1950-02-20,1950-02-28,9,4092510.156854073,1551132.7055599755,15511327.055599755,-3.411323,-2.737753,-1.8402666900175118,126,71,408,220,10,2,1.1111111111111112,1950-02-21,1950-02-28
117,1950-03-02,1950-03-07,6,3183028.0735990703,1375371.2184124778,11002969.747299822,-3.0158424,-2.6055908,-1.8299037060032264,118,11,406,235,8,2,1.3333333333333333,1950-03-03,1950-03-03
118,1950-03-11,1950-03-14,4,1105497.3526804529,866208.9562216945,4331044.7811084725,-2.8625672,-2.4398758,-1.8117225101084113,115,87,415,171,5,2,1.25,1950-03-14,1950-03-12
119,1950-11-10,1950-11-11,2,640037.9339071017,598242.4845203292,1196484.9690406583,-4.150052,-3.253952,-1.899773389176413,156,124,193,175,2,1,1.0,1950-11-11,1950-11-10
120,1950-11-21,1950-11-22,2,921508.3420113608,736671.4101896653,1473342.8203793305,-3.4278927,-3.1733303,-1.9679074825357206,55,46,93,74,2,1,1.0,1950-11-22,1950-11-22
121,1950-11-24,1950-11-26,3,2637583.7371480023,1708552.649100419,5125657.9473012565,-3.407088,-3.038149,-1.9155279203224052,151,131,272,235,3,1,1.0,1950-11-25,1950-11-25
122,1950-12-01,1950-12-01,1,534201.7118476607,534201.7118476607,534201.7118476607,-2.851571,-2.851571,-1.792154023303824,63,63,97,97,1,1,1.0,1950-12-01,1950-12-01
123,1950-12-04,1950-12-07,4,3212519.3306487147,2077223.9714956847,8308895.885982739,-3.4108007,-2.9896007,-1.9831384605603266,150,62,213,108,4,1,1.0,1950-12-06,1950-12-06
124,1950-12-18,1950-12-19,2,1553775.9576322264,1158135.1935878468,2316270.3871756936,-3.171891,-3.0488296,-1.8866641186210749,144,119,269,244,2,1,1.0,1950-12-19,1950-12-19
125,1950-12-26,1950-12-27,2,2126017.871323972,1785171.3557034554,3570342.711406911,-3.5129812,-2.9825687,-1.894348431110907,108,89,277,241,2,1,1.0,1950-12-27,1950-12-27
126,1951-01-02,1951-01-09,8,2168875.8336550584,989569.0034636889,7916552.027709511,-4.7093735,-3.1358318,-1.8384421145844851,165,63,271,141,8,1,1.0,1951-01-08,1951-01-03
127,1951-01-14,1951-02-11,29,12250204.497607615,2949767.34815706,126839995.97075358,-5.563636,-3.1839013,-1.9459991478536645,174,11,386,23,43,3,1.4827586206896552,1951-01-31,1951-02-01
128,1951-02-13,1951-02-18,6,1930991.7445792134,1098772.8847907716,9888955.963116946,-3.3019145,-2.7093735,-1.8505163261770994,171,13,393,192,9,2,1.5,1951-02-14,1951-02-15
129,1951-02-28,1951-03-02,3,1270168.5785235614,1064533.1949431787,3193599.5848295363,-3.7209888,-3.5147731,-2.0553638681497186,24,19,408,377,3,1,1.0,1951-03-01,1951-03-01
130,1951-03-04,1951-03-11,8,2533272.7042958722,1857019.1372781885,14856153.098225508,-5.8073153,-4.3761377,-2.1350053146697534,72,53,122,67,8,1,1.0,1951-03-05,1951-03-05
131,1951-03-13,1951-03-13,1,1036098.3218772411,1036098.3218772411,1036098.3218772411,-2.5378923,-2.5378923,-1.8266368191343403,171,171,211,211,1,1,1.0,1951-03-13,1951-03-13
132,1951-11-18,1951-11-18,1,746795.8068284027,746795.8068284027,746795.8068284027,-2.13294,-2.13294,-1.6528494828456157,162,162,239,239,1,1,1.0,1951-11-18,1951-11-18
133,1951-12-07,1951-12-10,4,2277114.76007689,1454795.523121591,5819182.092486364,-4.6539564,-4.07603,-2.1529557874856344,130,123,150,139,4,1,1.0,1951-12-09,1951-12-09
134,1951-12-14,1951-12-28,15,6190994.126092859,2114179.6055141,44397771.7157961,-4.2815948,-2.8980768,-1.846350815210295,124,29,323,72,21,3,1.4,1951-12-16,1951-12-21
135,1951-12-30,1952-01-24,26,5860977.399476416,2835011.085634703,90720354.74031049,-4.799246,-3.5016766,-1.96710679475737,132,11,391,31,32,2,1.2307692307692308,1952-01-23,1951-12-31
136,1952-01-26,1952-01-26,1,961438.4565622834,961438.4565622834,961438.4565622834,-2.3483152,-2.3483152,-1.7226008204259664,45,45,121,121,1,1,1.0,1952-01-26,1952-01-26
137,1952-01-28,1952-01-31,4,4332843.138093116,2053724.4548082065,10268622.274041032,-3.3266244,-2.838287,-1.8490001030681422,141,48,376,237,5,2,1.25,1952-01-30,1952-01-30
138,1952-02-03,1952-02-05,3,1203474.4488710864,952018.7205464998,2856056.1616394995,-2.3059967,-2.1763227,-1.697906555992395,39,25,366,339,3,1,1.0,1952-02-05,1952-02-04
139,1952-02-19,1952-02-22,4,681636.9961566741,611180.740252411,2444722.961009644,-2.9297552,-2.7022152,-1.8147124778041304,22,17,402,370,4,1,1.0,1952-02-20,1952-02-20
140,1952-02-26,1952-02-26,1,774334.4856562109,774334.4856562109,774334.4856562109,-2.8396642,-2.8396642,-1.889211033912773,169,169,190,190,1,1,1.0,1952-02-26,1952-02-26
