label,area,time,cm_lat,cm_lon,mean,stdev,median,min_value,min_lat,min_lon
33,611993.311168502,1992-12-21,138,145,-1.9210407987083356,0.35035604522990976,-1.8097028,-3.4896855,132,137
18,572273.5200494679,1992-12-22,55,398,-1.885661577567076,0.1918673260348725,-1.9421977,-2.2837894,58,391
39,515291.8874234631,1992-12-23,78,162,-1.6404012555384453,0.10773309226901821,-1.6153457,-2.031413,76,162
42,737122.2389279247,1992-12-26,77,208,-1.6566659528478576,0.11361738935921584,-1.6257002,-2.1139107,66,195
2,2585535.586198149,1992-12-27,51,104,-1.923278301402641,0.3387226564353101,-1.8646666,-3.929522,66,76
8,3654809.183902031,1992-12-28,60,128,-2.1583165301490075,0.4680836333603393,-2.1026108,-4.500725,73,81
16,833630.6473826569,1992-12-28,59,385,-1.6442387295272545,0.1096392067941308,-1.614378,-2.1376548,63,383
8,1104912.5503566784,1992-12-29,48,388,-1.780699054710567,0.19189541125871573,-1.7439231,-2.3491864,64,385
9,3544292.7088868716,1992-12-29,61,129,-2.0660368483165064,0.4362837628709413,-1.9652636,-4.2208176,72,79
9,2065434.4031298358,1992-12-30,56,391,-1.998511899717199,0.29018876070360605,-2.0204353,-2.7238398,64,385
12,3098506.493036173,1992-12-30,64,132,-2.1991038821646325,0.4188507267767972,-2.2055557,-3.4165843,68,76
6,1535669.2970769245,1992-12-31,60,395,-1.8163498116434051,0.2060311820735527,-1.79518,-2.4401586,51,410
10,2969300.1244743806,1992-12-31,74,143,-2.150825651588818,0.38245398694389704,-2.16299,-3.2109623,84,165
12,2286987.137490363,1993-01-01,77,149,-2.0374025144432157,0.3156170262715684,-2.0091603,-3.7062619,85,106
7,794705.072805032,1993-01-02,76,108,-1.9243049311390887,0.33107790606332554,-1.8294638,-3.6439972,95,120
11,1507612.658150944,1993-01-03,101,382,-1.8075827912522893,0.22791841473326013,-1.7616912,-2.6880949,91,382
12,985133.2277739806,1993-01-03,113,126,-2.118243480572291,0.4571094519470803,-2.0349205,-3.8989527,141,123
30,1017016.0671049834,1993-01-04,106,401,-1.803362445941763,0.23446460998761012,-1.7620108,-2.657243,125,417
49,1244514.078335238,1993-01-04,128,140,-2.0421362974103383,0.3620518033955195,-1.9982281,-3.714326,128,119
9,1663421.0735212823,1993-01-05,78,123,-1.958613169803964,0.3475412748920096,-1.8826821,-3.5917106,75,88
3,510213.0075428652,1993-01-06,36,391,-1.8742591157566546,0.21107028683354553,-1.8942913,-2.3974423,27,384
8,1576616.4998119313,1993-01-06,84,131,-2.01882152220602,0.3508293214345111,-1.9548901,-3.8217928,85,106
4,636899.9902346464,1993-01-07,31,398,-1.9165786184684137,0.27787443714387355,-1.8753531,-2.7027757,37,423
33,1028716.5346661839,1993-01-07,83,119,-2.1134400454806346,0.44234538380453964,-2.0265663,-4.284442,95,120
5,1204885.4793356438,1993-01-08,38,395,-2.0653279297868945,0.4057042000943724,-1.9861386,-3.1836321,37,409
19,1872754.050773875,1993-01-08,73,222,-1.6735930699993624,0.11820594816735222,-1.651567,-2.2457318,67,195
6,5830316.625386592,1993-01-09,64,302,-2.0448297702609084,0.43733160954317146,-1.9358687,-3.5616477,27,393
10,5787603.449505386,1993-01-10,71,307,-2.193444590684007,0.5122457748910072,-2.0914311,-4.1646957,100,106
4,2358648.39755201,1993-01-11,63,397,-1.9984615465374933,0.2966140176475255,-1.9789172,-3.250423,30,388
25,1655568.9397743344,1993-01-11,85,121,-2.0086849286595663,0.40134955731134836,-1.9332242,-4.510072,97,105
1,1435010.651126565,1993-01-12,47,393,-1.97829638097965,0.41038118339601176,-1.9021088,-3.388887,30,390
17,1656202.2513788294,1993-01-12,86,115,-2.0444218553717177,0.36505833915675606,-1.9756262,-3.4322698,96,108
2,2016884.014330272,1993-01-13,48,389,-2.0492838448260775,0.42796054836282926,-1.9668025,-3.4023938,32,379
20,2216077.1111382446,1993-01-13,89,142,-2.0293756448945333,0.3519592575146875,-1.9827721,-3.2296379,133,194
2,2785617.8814683575,1993-01-14,57,387,-2.1347748478789415,0.474716143817415,-2.036127,-3.9377737,32,384
17,1560933.4924864934,1993-01-14,84,141,-1.959746902160223,0.3548877482672754,-1.865733,-3.1209145,76,105
2,2520419.389596717,1993-01-15,53,388,-2.0440268090218505,0.49262791478919854,-1.9043318,-3.794119,32,386
1,1743695.4610841733,1993-01-16,37,389,-2.086835375018632,0.6026988043790414,-1.8966575,-4.292187,22,390
2,944036.7518441067,1993-01-17,21,381,-2.1375501538818305,0.4844603089615447,-2.0405843,-4.3801966,22,390
3,576665.8063093614,1993-01-18,16,366,-2.0523471324094977,0.26670697792981674,-2.0671663,-2.7252085,4,391
16,1742986.7813585238,1993-01-19,54,367,-1.9998841227240982,0.3441855019304649,-1.9592621,-3.023572,34,381
21,4220633.547194895,1993-01-20,73,385,-2.077660362985458,0.42912686312447207,-1.9624989,-3.461674,86,401
21,2386385.9323218707,1993-01-21,57,400,-1.9058346384739868,0.3031762534428907,-1.8465438,-3.448711,24,440
39,1252211.1060659697,1993-01-22,101,405,-1.8404694765243397,0.2719019318211346,-1.7700602,-2.9481578,89,405
1,717121.3654664373,1993-01-25,20,39,-1.788653133294799,0.2171444366069023,-1.7360284,-2.656193,40,41
1,527697.0515464597,1993-01-26,17,47,-1.736880674284578,0.17802208264583758,-1.7013323,-2.4683146,13,21
17,527271.8931571896,1993-01-28,35,383,-2.2060381653616776,0.4809158126184842,-2.1336303,-3.3467839,37,384
8,980294.7302524168,1993-01-29,40,388,-2.134188898436292,0.5343538215457039,-1.9578296,-3.4597092,39,386
6,3755524.9932384295,1993-01-30,59,350,-1.9566876142100895,0.4151142914231828,-1.8188605,-3.4878159,38,381
4,5505124.976613346,1993-01-31,64,364,-2.1941240081646267,0.5916551215960646,-2.0051417,-4.0944233,32,388
5,4506098.398609049,1993-02-01,52,379,-2.2425421318366623,0.5884744114239584,-2.0729275,-4.217046,40,386
1,616500.2592225752,1993-02-02,25,20,-2.1279690942230944,0.44337025837927246,-2.0572226,-3.5222657,38,9
2,4514185.8674121145,1993-02-02,59,366,-2.219564704384205,0.5449629299039795,-2.1550627,-4.1646385,32,390
1,856681.2310109262,1993-02-03,24,29,-2.0206838059359153,0.34917669738390833,-1.986746,-3.592375,39,15
3,2955441.6178823044,1993-02-03,38,382,-2.2451121517423798,0.5865960972023861,-2.1502385,-4.477025,27,438
2,1666451.2186436825,1993-02-04,19,376,-2.118486183267707,0.5056968119319687,-1.9773026,-4.4623256,27,438
4,1055065.0263914273,1993-02-04,23,49,-1.8963599805946085,0.35966505031842433,-1.7989664,-3.6180563,39,15
5,715158.6713585199,1993-02-05,19,369,-2.0211192200239916,0.3318285476050835,-1.9586397,-3.126989,20,390
3,4247416.184386999,1993-02-06,73,339,-2.1004501652005456,0.432661476633145,-2.0280533,-3.7399733,91,360
3,4607647.635642391,1993-02-07,71,353,-2.304321388278134,0.5642639956019218,-2.2519536,-4.0858054,105,337
1,3097569.6002445444,1993-02-08,60,365,-2.1832148843069263,0.5702629556452543,-2.0004654,-4.150154,94,386
4,3300159.5263152434,1993-02-09,68,360,-1.9136669330112164,0.3788973619328847,-1.8020521,-3.3633428,89,399
5,3945511.445085866,1993-02-10,75,376,-2.0540983881623536,0.5151867237077963,-1.8937674,-4.1186137,89,405
6,2647621.6132191843,1993-02-11,65,388,-2.226887995610662,0.48306999736227185,-2.186643,-3.558572,90,401
1,2978255.8504029405,1993-02-12,73,392,-2.2975379437006485,0.5197497171273265,-2.28992,-4.1556544,91,408
3,1130621.4387998267,1993-02-13,86,412,-2.0554669842575537,0.49219846918507887,-1.8646318,-3.9525132,91,409
13,1888049.2340550947,1993-02-16,102,160,-1.9723829962637867,0.32813515421740597,-1.941277,-3.1663284,104,115
14,2927291.4594383365,1993-02-17,103,178,-2.0614153193545457,0.4691725910382413,-1.930531,-3.5372818,118,181
42,2592508.2132656965,1993-02-18,113,238,-1.996026834673241,0.37363267143060497,-1.9010881,-3.0714014,132,222
37,3615220.9761778205,1993-02-19,118,279,-1.849533488220596,0.2685610293385429,-1.781443,-3.1693192,121,290
