chain_id,branch_id,date,label,day_in_chain
56,4,1994-01-12,1,4
56,4,1994-01-13,1,5
56,4,1994-01-14,13,6
56,4,1994-01-15,3,7
56,4,1994-01-16,30,8
56,4,1994-01-17,11,9
56,4,1994-01-18,9,10
56,4,1994-01-19,20,11
56,4,1994-01-20,1,12
56,4,1994-01-21,7,13
56,4,1994-01-22,15,14
57,1,1994-01-23,37,1
57,1,1994-01-24,16,2
57,1,1994-01-25,9,3
57,1,1994-01-26,15,4
57,1,1994-01-27,19,5
57,1,1994-01-28,30,6
58,1,1995-01-28,21,1
59,1,1995-02-03,23,1
59,1,1995-02-04,19,2
60,1,1995-02-05,19,1
60,1,1995-02-06,18,2
60,1,1995-02-07,6,3
60,1,1995-02-08,26,4
60,1,1995-02-09,18,5
60,1,1995-02-10,19,6
61,1,1995-02-11,8,1
61,1,1995-02-12,22,2
61,1,1995-02-13,9,3
62,1,1995-02-13,3,1
62,1,1995-02-14,4,2
63,1,1995-02-15,10,1
63,1,1995-02-16,31,2
64,1,1996-01-25,16,1
64,1,1996-01-26,42,2
64,1,1996-01-27,10,3
64,1,1996-01-28,14,4
64,1,1996-01-29,10,5
64,1,1996-01-30,2,6
64,1,1996-01-31,1,7
64,1,1996-02-01,3,8
64,1,1996-02-02,13,9
64,1,1996-02-03,24,10
64,1,1996-02-04,23,11
64,1,1996-02-05,7,12
64,1,1996-02-06,37,13
65,1,1996-02-13,1,1
65,1,1996-02-14,4,2
66,1,1997-01-08,9,1
67,1,1997-01-08,2,1
66,1,1997-01-09,5,2
67,1,1997-01-09,5,2
66,1,1997-01-10,15,3
67,1,1997-01-10,15,3
66,1,1997-01-11,4,4
67,1,1997-01-11,4,4
66,1,1997-01-12,3,5
67,1,1997-01-12,3,5
66,1,1997-01-13,6,6
67,1,1997-01-13,6,6
66,1,1997-01-14,27,7
67,1,1997-01-14,27,7
66,1,1997-01-15,24,8
67,1,1997-01-15,24,8
68,1,1997-01-16,9,1
68,1,1997-01-17,8,2
68,1,1997-01-18,2,3
68,1,1997-01-19,2,4
68,1,1997-01-20,15,5
69,1,1997-01-21,13,1
69,1,1997-01-22,12,2
69,1,1997-01-23,21,3
70,1,1997-01-23,57,1
71,1,1997-01-23,7,1
69,1,1997-01-24,16,4
70,1,1997-01-24,16,2
71,1,1997-01-24,10,2
71,1,1997-01-25,16,3
